entity_type,entity_id,episode_num,episode_title,supporter_id,user_id,npub,name,username,ids,firstseen,lastseen,updated,btc_d7_total,btc_d7_boosts,btc_d7_streams,btc_d7_zaps,btc_d7_purchases,btc_d7_subscriptions,btc_d30_total,btc_d30_boosts,btc_d30_streams,btc_d30_zaps,btc_d30_purchases,btc_d30_subscriptions,btc_m3_total,btc_m3_boosts,btc_m3_streams,btc_m3_zaps,btc_m3_purchases,btc_m3_subscriptions,btc_alltime_total,btc_alltime_boosts,btc_alltime_streams,btc_alltime_zaps,btc_alltime_purchases,btc_alltime_subscriptions,usd_d7_total,usd_d7_boosts,usd_d7_streams,usd_d7_zaps,usd_d7_purchases,usd_d7_subscriptions,usd_d30_total,usd_d30_boosts,usd_d30_streams,usd_d30_zaps,usd_d30_purchases,usd_d30_subscriptions,usd_m3_total,usd_m3_boosts,usd_m3_streams,usd_m3_zaps,usd_m3_purchases,usd_m3_subscriptions,usd_alltime_total,usd_alltime_boosts,usd_alltime_streams,usd_alltime_zaps,usd_alltime_purchases,usd_alltime_subscriptions
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,1QV35qKH6RCccCZR9Ua2,8Zso0hGJY6bYEzVz7HZXppOqphY2,npub1z3h8afkwknffxyspvjde77sj6euy66rtyul7qlkl7f2ygktxdqasnn760f,Matthew D,,fountain:1vfyk3yjU8M0Eq9oxl72;npub:npub1z3h8afkwknffxyspvjde77sj6euy66rtyul7qlkl7f2ygktxdqasnn760f,2026-04-09T11:08:23.954Z,2026-04-09T11:08:25.807Z,2026-04-30T00:02:44.681Z,0,0,0,0,0,0,10000,10000,0,0,0,0,10000,10000,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,7.13145,7.13145,0,0,0,0,7.131457000000001,7.131457000000001,0,0,0,0,7.131453070000001,7.131453070000001,0,0,0,0
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,d4Kx9igs1y3OdNx39Web,DVH3MFa1b1PWL8ywR43fbemKVn73,npub1marc26z8nh3xkj5rcx7ufkatvx6ueqhp5vfw9v5teq26z254renshtf3g0,,,fountain:8TZE1p1GQzUHncVifvJR;npub:npub1marc26z8nh3xkj5rcx7ufkatvx6ueqhp5vfw9v5teq26z254renshtf3g0,2026-04-12T13:05:13.926Z,2026-04-12T13:05:15.952Z,2026-04-30T00:03:14.783Z,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0,0,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.549245,3.549245,0,0,0,0,3.549245,3.549245,0,0,0,0
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,XrBCzIDjwbybxZRSmqXk,HbEZH8TzhNRJatbrCZTf8ABGzNa2,npub15604np6ccsk7ugph4nrg7kyq7kpme9lmcn4l0q2xk4yd5d6puu2s00dr0u,godsdeth (dr4kdr0u),,fountain:9gPYvkzzyRCfpJv4YXFG;npub:npub15604np6ccsk7ugph4nrg7kyq7kpme9lmcn4l0q2xk4yd5d6puu2s00dr0u,2026-04-08T19:08:04.165Z,2026-04-08T19:08:14.404Z,2026-04-30T00:02:41.481Z,0,0,0,0,0,0,1237,1237,0,0,0,0,1237,1237,0,0,0,0,1237,1237,0,0,0,0,0,0,0,0,0,0,0.87915,0.87915,0,0,0,0,0.8791532179999999,0.8791532179999999,0,0,0,0,0.879150534,0.879150534,0,0,0,0
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,fi4ucR2JyFZ9BBmI7fMK,k6dGIt9k2hRnm73z7BCUVVBQwtz1,npub15ymzglvv4alrp06q85eqqmawegxf688v0gtqwhjpgtp0a4k2mesqshkwwx,shadrach@fountain.fm,shadrach,fountain:QHTmd73FmJgg0Id3Qd5S;npub:npub15ymzglvv4alrp06q85eqqmawegxf688v0gtqwhjpgtp0a4k2mesqshkwwx,2026-05-07T00:17:44.014Z,2026-05-07T00:18:54.517Z,2026-05-14T00:00:25.084Z,0,0,0,0,0,0,648,648,0,0,0,0,648,648,0,0,0,0,648,648,0,0,0,0,0,0,0,0,0,0,0.52748,0.52748,0,0,0,0,0.5274733608,0.5274733608,0,0,0,0,0.5274751361,0.5274751361,0,0,0,0
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,Se0xkFNLrNnx7G6TYNox,pfv8tjTV8ZPmtISX0QulmsyVXRK2,npub1yanyn2d7862md22tl9qrufgt2l8thn0ejdxklec5mpasjveagpxs7qsnkl,pookspalace@fountain.fm,pookspalace,fountain:MY1UmVac0xtKDRwKoikm;npub:npub1yanyn2d7862md22tl9qrufgt2l8thn0ejdxklec5mpasjveagpxs7qsnkl,2026-04-27T12:49:43.779Z,2026-04-27T12:49:49.334Z,2026-04-30T00:01:09.880Z,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,500,500,0,0,0,0,0.38867,0.38867,0,0,0,0,0.38867,0.38867,0,0,0,0,0.38865745,0.38865745,0,0,0,0,0.3886604915,0.3886604915,0,0,0,0
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,Zy0IIcmisudvsWqK2Oit,mPCQb8yenNZ4nSlGGrdB0xrcWXI2,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,rev.hodl,,fountain:6VdBYcJpq6oeu326P7IS;npub:npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,2026-04-19T18:02:48.868Z,2026-04-19T18:02:54.498Z,2026-04-30T00:04:23.480Z,0,0,0,0,0,0,220,220,0,0,0,0,220,220,0,0,0,0,220,220,0,0,0,0,0,0,0,0,0,0,0.16459,0.16459,0,0,0,0,0.164589854,0.164589854,0,0,0,0,0.16458731120000003,0.16458731120000003,0,0,0,0
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,vke3A5MMtN17F6qmhDIR,tQyTbxhnzWSjLzuh7OTOS3pQ3bM2,npub15rp8pt5u4r8m5yavdceuzsr8zcah0jtwwpfu2nmp22ss3yjawn3qhtdruw,Pyrohawk,,fountain:fCuRlcuK2Z6tfc8y7ueW;npub:npub15rp8pt5u4r8m5yavdceuzsr8zcah0jtwwpfu2nmp22ss3yjawn3qhtdruw,2026-04-11T03:00:28.944Z,2026-05-12T21:52:48.742Z,2026-05-19T00:00:48.282Z,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07298695000000001,0.07298695000000001,0,0,0,0,0.07298721100000001,0.07298721100000001,0,0,0,0
EPISODE,9bujoMt5jRPVOwtIZmop,006,Grassroots Recap: Philly Suburbs & Bitcoin Park Nashville | Ep. 006,HIPPqG3nAhgu9kJSbLxm,6BwQmhaZzOhFzQIb4NT1v96qPbA3,npub1jxh2kga4ve8d4ftahcqtqswvk5z5f7ya0k2kx3dm679hmw4ysesqvt62rj,,,fountain:7yFU6TDVQCUATGqYb4xT;npub:npub1jxh2kga4ve8d4ftahcqtqswvk5z5f7ya0k2kx3dm679hmw4ysesqvt62rj,2026-04-09T14:06:38.986Z,2026-04-09T14:06:40.775Z,2026-04-30T00:02:45.481Z,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0.0708,0.0708,0,0,0,0,0.07080405000000001,0.07080405000000001,0,0,0,0,0.07080006550000001,0.07080006550000001,0,0,0,0
EPISODE,ALmlcUO8Jz2GtvYSbqBZ,005,"Local Bitcoiners • The Meetup Is the Farmer's Market: Kansas City, MO | Ep. 005",lBWzUoFf2i8yWGMUH2hh,,npub1ljswqt5rr5hpd3ee86n4qp9uvqafk233wlsvndxu7sxg8q889fxse79q6n,"BITCOIN is for EVERYONE (May 22-23, 2026)",,npub:npub1ljswqt5rr5hpd3ee86n4qp9uvqafk233wlsvndxu7sxg8q889fxse79q6n,2026-04-07T17:35:44.090Z,2026-04-07T17:45:50.236Z,2026-04-30T00:02:37.610Z,0,0,0,0,0,0,23030,23030,0,0,0,0,23030,23030,0,0,0,0,23030,23030,0,0,0,0,0,0,0,0,0,0,15.79605,15.79605,0,0,0,0,15.796057999999999,15.796057999999999,0,0,0,0,15.796057,15.796057,0,0,0,0
EPISODE,ALmlcUO8Jz2GtvYSbqBZ,005,"Local Bitcoiners • The Meetup Is the Farmer's Market: Kansas City, MO | Ep. 005",6NuDyd6TI11m16TKKPc9,apaVhvQDPMOSW9IvmhBnti03xns2,npub1x57njsdpz92cudukgmx9s5r0asfjas7g2w5tdvear25hm6uy970qjddxuw,WeAllEat,,fountain:yEHTC2V60uEuUrQPQqbq;npub:npub1x57njsdpz92cudukgmx9s5r0asfjas7g2w5tdvear25hm6uy970qjddxuw,2026-04-06T14:41:49.016Z,2026-04-06T17:21:59.992Z,2026-04-30T00:02:32.883Z,0,0,0,0,0,0,15732,10020,5712,0,0,0,15732,10020,5712,0,0,0,15732,10020,5712,0,0,0,0,0,0,0,0,0,10.95033,6.96506,3.98527,0,0,0,10.950040140900017,6.965056307999999,3.9849838329000002,0,0,0,10.950044565900017,6.965056307999999,3.9849882579000004,0,0,0
EPISODE,ALmlcUO8Jz2GtvYSbqBZ,005,"Local Bitcoiners • The Meetup Is the Farmer's Market: Kansas City, MO | Ep. 005",2IHiWMApru64adQDyXOY,LpT5bOLeFocnUcK46y0v6SOTJca2,npub1a6hvdlk99q83hsw8cgzdjww8m7xnxx9yg77mfmm60n45fed6kdgsaprzvp,KT,,fountain:OSAxX4OlbIfagpT84oB9;npub:npub1a6hvdlk99q83hsw8cgzdjww8m7xnxx9yg77mfmm60n45fed6kdgsaprzvp,2026-04-08T21:02:33.976Z,2026-04-08T21:02:35.851Z,2026-04-30T00:02:41.893Z,0,0,0,0,0,0,7000,7000,0,0,0,0,7000,7000,0,0,0,0,7000,7000,0,0,0,0,0,0,0,0,0,0,4.99618,4.99618,0,0,0,0,4.9961918999999995,4.9961918999999995,0,0,0,0,4.996187869,4.996187869,0,0,0,0
