settled_at,payment_hash,source,naddr,coordinate,event_kind,sender_npub,sender_name,episode_num,total_sats
2026-07-08T04:14:06Z,1c0cb1eb63e5fa7722ad4216bd8f20542def67a78bd0b13a9c1cb1087be08d86,website,naddr1qvzqqqrukvpzqumxj5we3tg5h3hhy6ctfdf607t3txhpwnp6ndnhxxxc52c4u0svqqgxzwpsvv6rsefc89nrvwf4v9jx2k38d80,31923:7366951d98ad14bc6f726b0b4b53a7f97159ae174c3a9b677318d8a2b15e3e0c:a80c48e89f695ade,31923,npub1mc909r6rtu2kfmzfy9u5vzy60jlhgqgzty0jqlz0qhkdraxcypcqduvk2m,,,420
2026-07-07T19:30:41Z,00b0bd35cc358c52b3db8a25cf6133360710a2e106c8e288dfeb4e9cb9d55cdc,website,naddr1qvzqqqrukvpzqngz8n5al4660uc8tw8guzzqpzlp0g0h2rrrkh08y8nwlzp6m3m9qyt8wumn8ghj7ur4wfcxcetjv4kxz7fwvdhk6tcprpmhxue69uhhyetvv9ujuen0w4h8gctfdchxvmf0qy2hwumn8ghj7un9d3shjtnyv9kh2uewd9hj7qqsv56xvvn9xvcr2wtr8y6nwdmrvym3rxzx,31923:4d023ce9dfd75a7f3075b8e8e084008be17a1f750c63b5de721e6ef883adc765:e4f2e3059c9577ca,31923,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,,,420
2026-07-07T19:25:00Z,fc454414801c28151055ca4d269b45ac8c05bdec42f70c7eac7def8d2c90ff4d,website,naddr1qvzqqqrukvpzqngz8n5al4660uc8tw8guzzqpzlp0g0h2rrrkh08y8nwlzp6m3m9qyt8wumn8ghj7ur4wfcxcetjv4kxz7fwvdhk6tcprpmhxue69uhhyetvv9ujuen0w4h8gctfdchxvmf0qy2hwumn8ghj7un9d3shjtnyv9kh2uewd9hj7qqsxc6xzetzxqmnqef4vd3r2cejxseq3f23,31923:4d023ce9dfd75a7f3075b8e8e084008be17a1f750c63b5de721e6ef883adc765:64aeb070e5cb5c24,31923,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,,,420
2026-07-07T18:58:11Z,f92cb0059cec980c993d08976fb311585b1fa83bb60e61b9d80170293d362a6a,website,naddr1qvzqqqrukvpzqngz8n5al4660uc8tw8guzzqpzlp0g0h2rrrkh08y8nwlzp6m3m9qyt8wumn8ghj7ur4wfcxcetjv4kxz7fwvdhk6tcprpmhxue69uhhyetvv9ujuen0w4h8gctfdchxvmf0qy2hwumn8ghj7un9d3shjtnyv9kh2uewd9hj7qqsxq6xyv3nv33xywrpvy6ngcnz8ywtsgdm,31923:4d023ce9dfd75a7f3075b8e8e084008be17a1f750c63b5de721e6ef883adc765:04b23dbb8aa54bb9,31923,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,,,420
2026-07-04T12:49:17Z,c6164443a0e8e74662347b2aaed7416a659e816ace2afd42096f567e4498ba70,website,naddr1qvzqqqrukvpzpmz9cawkkqsvar27q3cr74t9kgm8pphwklge20n3hgkcda55mrg0qythwumn8ghj7un9d3shjtnswf5k6ctv9ehx2ap0qyvhwumn8ghj7urjv4kkjatd9ec8y6tdv9kzumn9wshsqypsvcmnqvfs8y6xydmx89nrqcnplk7cj7,31923:ec45c75d6b020ce8d5e04703f5565b2367086eeb7d1953e71ba2d86f694d8d0f:0f701094b7f9f0ba,31923,npub1a3zuwhttqgxw340qgupl24jmydnssmht05v48ecm5tvx762d358sexf24q,,,420
2026-06-19T14:52:44Z,e099d08d43fb86307bec7bbdce683b29fee2278908f6d56001d5afa80f19489e,website,naddr1qvzqqqrukvpzqf88gp88stgp6p9nyxkf6yj63ch7vehnzmygan4q2u3a4d50praqqqgxzefnxd3k2wpkvenrserrx9snjtkv608,31923:24e7404e782d01d04b321ac9d125a8e2fe666f316c88ecea05723dab68f08fa0:ae33ce86ff8dc1a9,31923,npub1ynn5qnnc95qaqjejrtyazfdgutlxvme3djywe6s9wg76k68s37sqsl2qfd,,,420
2026-06-12T17:37:32Z,77190e3e3c7dfc3936b6920be904097bc7d1e0152ab3c740746f566a7ab090b6,website,naddr1qvzqqqrukvpzqngz8n5al4660uc8tw8guzzqpzlp0g0h2rrrkh08y8nwlzp6m3m9qyt8wumn8ghj7ur4wfcxcetjv4kxz7fwvdhk6tcpz4mhxue69uhhyetvv9ujuerpd46hxtnfduhszrnhwden5te0dehhxtnvdakz7qqs8pjx2ce4v43rxdp4893ngep5xc6t0pld,31923:4d023ce9dfd75a7f3075b8e8e084008be17a1f750c63b5de721e6ef883adc765:8dec5eb3459c4d46,31923,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,,,210
2026-06-12T17:32:50Z,074b6d2060d49a2aa6b6d29ba77841b57a42d921e6b6b2dfda7ceef863c6b5ce,website,naddr1qvzqqqrukvpzqngz8n5al4660uc8tw8guzzqpzlp0g0h2rrrkh08y8nwlzp6m3m9qyt8wumn8ghj7ur4wfcxcetjv4kxz7fwvdhk6tcpz4mhxue69uhhyetvv9ujuerpd46hxtnfduhszrnhwden5te0dehhxtnvdakz7qqsx9jnyvnzxqcnsvfcx33k2c3evy25l2fa,31923:4d023ce9dfd75a7f3075b8e8e084008be17a1f750c63b5de721e6ef883adc765:1e22b018184ceb9a,31923,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,,,210
2026-06-04T12:37:23Z,b0fe9ffa6f5b210cf9630a5b20ceb3b229596e0ecb160fc616e7703aa1c63d4a,website,naddr1qvzqqqrukvpzqngz8n5al4660uc8tw8guzzqpzlp0g0h2rrrkh08y8nwlzp6m3m9qyt8wumn8ghj7ur4wfcxcetjv4kxz7fwvdhk6tcprpmhxue69uhhyetvv9ujuen0w4h8gctfdchxvmf0qy2hwumn8ghj7un9d3shjtnyv9kh2uewd9hj7qqgvyerqdphvycrg6np4ep,31923:4d023ce9dfd75a7f3075b8e8e084008be17a1f750c63b5de721e6ef883adc765:a2047a04,31923,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,,,118
2026-05-25T00:04:19Z,1eb60e67822d1f5542298d72be3d84ad98b12bf778d1c7f23b3bfcdd2843d7eb,website,naddr1qvzqqqrukvpzqf88gp88stgp6p9nyxkf6yj63ch7vehnzmygan4q2u3a4d50praqqqgrzwfnv56xvctyxc6rjdnrve3rs3dklj2,31923:24e7404e782d01d04b321ac9d125a8e2fe666f316c88ecea05723dab68f08fa0:193e4fad6496cfb8,31923,npub1ynn5qnnc95qaqjejrtyazfdgutlxvme3djywe6s9wg76k68s37sqsl2qfd,,,418
