settled_at,payment_hash,source,app,kind,sender_npub,sender_name,episode_id,episode_num,episode_title,show_level,total_sats,our_sats,divisor,total_sats_method,message,reed_sats,rev_sats,aquafox_sats,guests_sats,fountain_sats,uncertain_sats
2026-07-18T21:27:05Z,7f4baf145e235fd959a3632771eb331318bba321a792063453e26c9f5ceb7430,website,localbitcoiners.com,boost,npub1y3s99smcstupmj0txq3j26s7ue5qynuyjng5xle6jw5jy8jt85tq6kajjt,,Q48WBr6nT3mrbwMZ8ydY,,Local Bitcoiners,true,100,33,1.0,boost receipt,"Thursday, Jul 23, 7:00 PM -- find the hidden door and knock to be granted entrance 🗝️\n\nhttps://www.meetup.com/bitcoin-only-sactown/events/315540285/",33,33,34,0,0,0
2026-07-18T20:56:51Z,608e26956f2e454d429b630497743dcd12ae31db31316313e5bd9eb2b3632a96,website,localbitcoiners.com,boost,npub1a3zuwhttqgxw340qgupl24jmydnssmht05v48ecm5tvx762d358sexf24q,,Q48WBr6nT3mrbwMZ8ydY,,Local Bitcoiners,true,420,138,1.0,boost receipt,I just posted a meetup on localbitcoiners.com/meetups!\n\nnostr:naddr1qvzqqqrukvpzpmz9cawkkqsvar27q3cr74t9kgm8pphwklge20n3hgkcda55mrg0qy88wumn8ghj7mn0wvhxcmmv9uq3wamnwvaz7tmjv4kxz7fwwpexjmtpdshxuet59uq3jamnwvaz7tmswfjk66t4d5h8qunfd4skctnwv46z7qqsxguxzc3exvcr2v35vcekxdrx8qahcryx,139,139,142,0,0,0
2026-07-18T18:33:11Z,3b2ba176c2a110a43ae410ece4472a7f1c3667296696e4ec93015686f6a28c6e,website,localbitcoiners.com,boost,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,Q48WBr6nT3mrbwMZ8ydY,,Local Bitcoiners,true,420,138,1.0,boost receipt,Boosting my meetup from https://localbitcoiners.com/meetups\n\nnostr:naddr1qvzqqqrukvpzqysf4dfswq6az9yewun53ygpsrq6pays60lxmpyyzjckjqfdd94fqqkkyct5w3jhyum9vykky6t5vdhkjmn9wfej6cnfwf6xserp0yknzdeh8ycrxdfsxu6rjdfh95cqq07apk,139,139,142,0,0,0
2026-07-18T12:36:37Z,35fdd88fe997ab1a4ef323e2f23b23fb69aaca641f5c65a422ccd8cd18e8436d,fountain_boost,Fountain,boost,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,1000,330,1.0,fountain api,"One more from me - if anyone else sends consumables globally, Battersea Bitcoiners are having a 1 year anniversary party on August 19th in London and I would love to order in some goods from Bitcoiners! Please reach out, or Rev & Reed let me know if you have good suggestions, I'm already talking with SatsOil thanks to this episode!",330,330,0,320,20,0
2026-07-18T12:34:08Z,9c51bfa42402463a3542a16a35b4c11b306c127c7b99d91c42d189958e1eb9ed,zap,nostr zaps,zap,npub15ypxpg429uyjmp0zczuza902chuvvr4pn35wfzv8rx6cej4z8clq6jmpcx,,,,,true,21,4,0.2,zap receipt,BULLISH,0,0,4,0,0,0
2026-07-18T10:47:54Z,31da0db0f7e989efea8acd1167724ea1ebe39c96845fc1a18d7d0a1a7813a51d,fountain_boost,BoostMeBitch,boost,,anon,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,100,33,1.0,tardbox,,33,33,0,32,2,0
2026-07-18T05:10:24Z,e63c8092403dc447c859c2f40e380a7a13e747db132eb17de66e4b06e1c61d24,zap,nostr zaps,zap,npub1tan2cwtf8s7zxvck79qllzaa7smy03y9ftd50gk6jnag2htnslssyfhjmr,,,,,true,21,5,0.25,zap receipt,🤘,0,0,5,0,0,0
2026-07-18T02:31:22Z,babf1ebeda26a2461c09ab20a6fdb646963df5a54cb1781e78f0f36a855bd832,website,localbitcoiners.com,boost,,,Q48WBr6nT3mrbwMZ8ydY,,Local Bitcoiners,true,100,33,1.0,boost receipt,,33,33,34,0,0,0
2026-07-17T23:52:35Z,7237ee790719cf3e1ab80f243d7ebf875363c81002df98b41b71d24f5e266596,website,localbitcoiners.com,boost,npub1xgyjasdztryl9sg6nfdm2wcj0j3qjs03sq7a0an32pg0lr5l6yaqxhgu7s,,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,68,33,1.0,boost receipt,test,23,22,1,22,0,0
2026-07-17T23:24:55Z,6846391718f0d7a8b3040550b0f87551d90ece35efc2cafc1a5ad35609dc3653,fountain_boost,BoostMeBitch,boost,,anon,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,100,33,1.0,tardbox,test boost,33,33,0,32,2,0
